Episode,Steps,Winner,Active_Side,Black_Reward,White_Reward,Actor_Loss_Black,Critic_Loss_Black,Actor_Loss_White,Critic_Loss_White,Entropy_Black,Entropy_White,Black_Self_Dying_Count,White_Self_Dying_Count,Black_Kill_Count,White_Kill_Count,Black_Hit_Count,White_Hit_Count
1,6,black,Black,0.485,-0.515,-0.38714275,0.22588027,0.24117596,0.06897983,0.0,0.0,2,3,0,0,0,0
2,6,black,Black,0.985,-1.015,-0.13013606,0.59467524,0.13199757,0.29202795,0.0,0.0,1,3,0,0,0,0
3,6,black,Black,0.485,-0.515,0.9027314,0.12316912,0.73728067,0.016251698,0.0,0.0,2,3,0,0,0,0
4,6,black,Black,0.485,-0.515,0.41023484,0.09416025,0.7133253,0.02380197,0.0,0.0,2,3,0,0,0,0
5,6,black,Black,1.485,-1.515,0.36835042,0.85298204,-0.14777128,0.73093057,0.0,0.0,0,3,0,0,0,0
6,6,black,Black,1.485,-1.515,1.2526568,0.78141737,0.46603715,0.69368535,0.0,0.0,0,3,0,0,0,0
7,6,black,Black,1.485,-1.515,-0.08911216,0.7071605,1.0431329,0.610942,0.0,0.0,0,3,0,0,0,0
8,8,black,Black,0.48,-0.52,0.33837676,0.008750972,0.8986025,0.0077585904,0.0,0.0,2,3,0,0,0,0
9,6,black,Black,0.485,-0.515,0.4606912,0.004508549,0.42679036,0.010432833,0.0,0.0,2,3,0,0,0,0
10,6,black,Black,1.485,-1.515,0.4293851,0.5055472,-0.031647008,0.5145991,0.0,0.0,0,3,0,0,0,0
11,6,black,Black,0.985,-1.015,-0.006207148,0.10081362,-0.26967597,0.047662567,0.0,0.0,1,3,0,0,0,0
12,6,black,Black,1.485,-1.515,0.46216547,0.382189,0.641992,0.3659779,0.0,0.0,0,3,0,0,0,0
13,6,black,Black,1.485,-1.515,-0.29654124,0.32283175,1.1385993,0.37307763,0.0,0.0,0,3,0,0,0,0
14,6,black,Black,0.485,-0.515,0.1379518,0.024187362,0.55859965,0.047320724,0.0,0.0,2,3,0,0,0,0
15,6,black,Black,1.485,-1.515,0.15012522,0.23661049,0.936131,0.24241543,0.0,0.0,0,3,0,0,0,0
16,6,black,Black,1.485,-1.515,-0.027695954,0.18930505,-1.1466956,0.20295738,0.0,0.0,0,3,0,0,0,0
17,6,black,Black,0.985,-1.015,-0.49922466,0.0027358367,0.37809357,0.008373331,0.0,0.0,1,3,0,0,0,0
18,6,black,Black,1.485,-1.515,0.0746996,0.12240981,-0.053909034,0.17493491,0.0,0.0,0,3,0,0,0,0
19,6,black,Black,0.985,-1.015,-0.7330122,0.00092334114,0.3948376,0.002170784,0.0,0.0,1,3,0,0,0,0
20,6,black,Black,1.485,-1.515,-0.63697,0.074108675,-0.5392106,0.13300712,0.0,0.0,0,3,0,0,0,0
21,6,black,Black,1.485,-1.515,-1.5927835,0.051581416,-0.13755941,0.08004856,0.0,0.0,0,3,0,0,0,0
22,6,black,Black,0.985,-1.015,0.36620668,0.027673116,0.24132986,0.006339816,0.0,0.0,1,3,0,0,0,0
23,6,black,Black,1.485,-1.515,0.10032141,0.025065033,0.03056707,0.040103152,0.0,0.0,0,3,0,0,0,0
24,6,black,Black,1.485,-1.515,0.104013406,0.013776328,0.59634894,0.031039827,0.0,0.0,0,3,0,0,0,0
25,6,black,Black,0.985,-1.015,-0.14035332,0.070698485,0.44539115,0.03481741,0.0,0.0,1,3,0,0,0,0
26,6,black,Black,0.985,-1.015,0.5832379,0.05523022,0.07866896,0.033863336,0.0,0.0,1,3,0,0,0,0
27,6,black,Black,1.485,-1.515,0.08661988,0.002266093,0.58778167,0.009518347,0.0,0.0,0,3,0,0,0,0
28,6,black,Black,1.485,-1.515,-0.04431816,0.0008268261,0.9580166,0.0066165924,0.0,0.0,0,3,0,0,0,0
29,6,black,Black,0.985,-1.015,-0.23912011,0.10818127,-0.7337821,0.06527085,0.0,0.0,1,3,0,0,0,0
30,6,black,Black,1.485,-1.515,0.31837466,0.0003536231,-0.2564801,0.0066266917,0.0,0.0,0,3,0,0,0,0
31,8,black,Black,0.48,-0.52,-0.16239643,0.4273461,1.1748946,0.35116154,0.0,0.0,2,3,0,0,0,0
32,6,black,Black,0.985,-1.015,-0.66847754,0.046252966,-0.6166284,0.048195556,0.0,0.0,1,3,0,0,0,0
33,6,black,Black,0.985,-1.015,0.6865317,0.101729095,0.43913117,0.08523048,0.0,0.0,1,3,0,0,0,0
34,6,black,Black,0.985,-1.015,-1.4493328,0.1118023,0.53543687,0.07325747,0.0,0.0,1,3,0,0,0,0
35,6,black,Black,1.485,-1.515,0.39763597,0.0038198854,1.0054058,0.0030455478,0.0,0.0,0,3,0,0,0,0
36,6,black,Black,0.985,-1.015,-0.48921213,0.049715888,0.66268605,0.018212723,0.0,0.0,1,3,0,0,0,0
37,6,black,Black,0.985,-1.015,-0.04150291,0.075915255,0.3053681,0.052757625,0.0,0.0,1,3,0,0,0,0
38,6,black,Black,1.585,-1.515,-0.30374596,0.0345466,-0.872138,0.0035920918,0.0,0.0,0,3,0,0,1,0
39,6,black,Black,0.985,-1.015,-0.3981912,0.014423513,-0.4891952,0.012223271,0.0,0.0,1,3,0,0,0,0
40,6,black,Black,1.485,-1.515,0.08540467,0.019286422,-1.466806,0.012425497,0.0,0.0,0,3,0,0,0,0
41,6,black,Black,1.485,-1.515,0.5588015,0.019308409,-0.38968596,0.008529496,0.0,0.0,0,3,0,0,0,0
42,6,black,Black,0.985,-1.015,-0.43495306,0.031319015,1.3035079,0.035055306,0.0,0.0,1,3,0,0,0,0
43,6,black,Black,1.485,-1.515,0.66854125,0.029974392,-1.5159448e-05,0.01208948,0.0,0.0,0,3,0,0,0,0
44,6,black,Black,1.485,-1.515,0.30731004,0.025514731,-0.57952476,0.013869606,0.0,0.0,0,3,0,0,0,0
45,6,black,Black,1.485,-1.515,1.9272038,0.02748394,-0.6932859,0.016321138,0.0,0.0,0,3,0,0,0,0
46,6,black,Black,0.985,-0.915,-0.16703653,0.038047973,0.75216055,0.061142016,0.0,0.0,1,3,0,0,0,1
47,6,black,Black,1.485,-1.515,0.029858658,0.030099405,-0.9868598,0.015047446,0.0,0.0,0,3,0,0,0,0
48,6,black,Black,0.985,-1.015,0.18468861,0.011493504,-0.17580609,0.006000805,0.0,0.0,1,3,0,0,0,0
49,6,black,Black,1.485,-1.515,0.9672895,0.026414573,-0.40258408,0.011359588,0.0,0.0,0,3,0,0,0,0
50,6,black,Black,0.985,-1.015,-0.41272196,0.014236967,-0.6430127,0.006399249,0.0,0.0,1,3,0,0,0,0
51,6,black,Black,1.485,-1.515,0.07425781,0.02876695,-0.8868378,0.010402544,0.0,0.0,0,3,0,0,0,0
52,6,black,Black,1.485,-1.515,0.855028,0.029143333,-0.80381566,0.017973537,0.0,0.0,0,3,0,0,0,0
53,6,black,Black,1.485,-1.515,0.13208409,0.024993407,-0.33233985,0.008030565,0.0,0.0,0,3,0,0,0,0
54,6,black,Black,0.985,-1.015,-0.13340677,0.039962422,-0.34324312,0.036494415,0.0,0.0,1,3,0,0,0,0
55,6,black,Black,0.985,-1.015,-0.15829575,0.04722331,0.348996,0.044787306,0.0,0.0,1,3,0,0,0,0
56,6,black,Black,1.485,-1.515,0.16617191,0.01851987,0.56387466,0.011657458,0.0,0.0,0,3,0,0,0,0
57,6,black,Black,0.485,-0.515,-0.5082685,0.2590231,0.26561987,0.1578389,0.0,0.0,2,3,0,0,0,0
58,6,black,Black,1.485,-1.515,0.12536295,0.019939736,-0.26968762,0.0067359046,0.0,0.0,0,3,0,0,0,0
59,6,black,Black,0.985,-1.015,-0.48637882,0.03853677,1.1270509,0.028613081,0.0,0.0,1,3,0,0,0,0
60,6,black,Black,1.485,-1.515,-0.40573382,0.02279354,-0.8636145,0.014085758,0.0,0.0,0,3,0,0,0,0
61,6,black,Black,0.485,-0.515,-0.5368367,0.24505346,0.38765466,0.14932425,0.0,0.0,2,3,0,0,0,0
62,6,black,Black,1.485,-1.515,-0.15643124,0.020838156,-0.5879162,0.019858448,0.0,0.0,0,3,0,0,0,0
63,6,black,Black,1.485,-1.515,-0.9192862,0.022952283,-0.55844826,0.009095156,0.0,0.0,0,3,0,0,0,0
64,6,black,Black,1.485,-1.515,0.21351792,0.020534372,-1.4005604,0.010713766,0.0,0.0,0,3,0,0,0,0
65,6,black,Black,0.985,-1.015,-0.49631587,0.040792722,0.32234463,0.024500465,0.0,0.0,1,3,0,0,0,0
66,6,black,Black,1.485,-1.515,0.252328,0.023106871,-1.2316234,0.014027958,0.0,0.0,0,3,0,0,0,0
67,6,black,Black,0.985,-1.015,-0.28441107,0.0433692,0.6571041,0.027203396,0.0,0.0,1,3,0,0,0,0
68,6,black,Black,0.485,-0.515,1.152922,0.22567974,1.1586651,0.12483233,0.0,0.0,2,3,0,0,0,0
69,6,black,Black,1.485,-1.515,-1.0227238,0.022133099,-0.7309491,0.022028416,0.0,0.0,0,3,0,0,0,0
